timestamp,component,model_or_tool,tokens_in,tokens_out,latency_ms,cost_usd,conversation_id
2025-11-29T14:13:53.227391+00:00,google_maps,places_school,,,265.575,,
2025-11-29T14:13:53.664934+00:00,google_maps,places_university,,,249.856,,
2025-11-29T14:13:54.093533+00:00,google_maps,places_park,,,245.219,,
2025-11-29T14:13:54.473981+00:00,google_maps,places_shopping_mall,,,209.635,,
2025-11-29T14:13:54.869144+00:00,google_maps,places_hospital,,,213.151,,
2025-11-29T14:13:55.349062+00:00,google_maps,places_beach,,,295.477,,
2025-11-29T14:13:55.763979+00:00,google_maps,geocode,,,235.092,,
2025-11-29T14:13:56.252490+00:00,google_maps,places_gym,,,312.158,,
2025-11-29T14:13:56.838868+00:00,google_maps,places_school,,,381.018,,
2025-11-29T14:13:57.317819+00:00,google_maps,places_university,,,283.211,,
2025-11-29T14:13:57.806295+00:00,google_maps,places_park,,,308.647,,
2025-11-29T14:13:58.252812+00:00,google_maps,places_shopping_mall,,,259.202,,
2025-11-29T14:13:58.671307+00:00,google_maps,places_hospital,,,231.942,,
2025-11-29T14:13:59.158325+00:00,google_maps,places_beach,,,308.639,,
2025-11-29T14:13:59.863691+00:00,google_maps,geocode,,,191.339,,
2025-11-29T14:14:00.219207+00:00,google_maps,places_gym,,,174.588,,
2025-11-29T14:14:00.625079+00:00,google_maps,places_school,,,231.046,,
2025-11-29T14:14:01.055065+00:00,google_maps,places_university,,,248.026,,
2025-11-29T14:14:01.405431+00:00,google_maps,places_park,,,169.95,,
2025-11-29T14:14:01.809666+00:00,google_maps,places_shopping_mall,,,218.932,,
2025-11-29T14:14:02.158411+00:00,google_maps,places_hospital,,,166.565,,
2025-11-29T14:14:02.608116+00:00,google_maps,places_beach,,,259.066,,
2025-11-29T14:14:02.977625+00:00,google_maps,geocode,,,187.081,,
2025-11-29T14:14:03.426876+00:00,google_maps,places_gym,,,267.066,,
2025-11-29T14:14:03.881368+00:00,google_maps,places_school,,,267.138,,
2025-11-29T14:14:04.338967+00:00,google_maps,places_university,,,276.351,,
2025-11-29T14:14:04.779678+00:00,google_maps,places_park,,,267.983,,
2025-11-29T14:14:05.239344+00:00,google_maps,places_shopping_mall,,,286.548,,
2025-11-29T14:14:05.681709+00:00,google_maps,places_hospital,,,258.812,,
2025-11-29T14:14:06.144172+00:00,google_maps,places_beach,,,290.774,,
2025-11-29T14:14:06.560814+00:00,google_maps,geocode,,,239.35,,
2025-11-29T14:14:06.985733+00:00,google_maps,places_gym,,,256.912,,
2025-11-29T14:14:07.497765+00:00,google_maps,places_school,,,340.341,,
2025-11-29T14:14:07.956434+00:00,google_maps,places_university,,,285.648,,
2025-11-29T14:14:08.382450+00:00,google_maps,places_park,,,237.002,,
2025-11-29T14:14:09.152450+00:00,google_maps,places_shopping_mall,,,586.424,,
2025-11-29T14:14:09.542061+00:00,google_maps,places_hospital,,,209.24,,
2025-11-29T14:14:10.021204+00:00,google_maps,places_beach,,,301.595,,
2025-11-29T14:14:10.456497+00:00,google_maps,geocode,,,246.103,,
2025-11-29T14:14:10.874494+00:00,google_maps,places_gym,,,240.596,,
2025-11-29T14:14:11.362473+00:00,google_maps,places_school,,,312.921,,
2025-11-29T14:14:11.775534+00:00,google_maps,places_university,,,226.532,,
2025-11-29T14:14:12.218416+00:00,google_maps,places_park,,,266.161,,
2025-11-29T14:14:12.653595+00:00,google_maps,places_shopping_mall,,,246.585,,
2025-11-29T14:14:13.061894+00:00,google_maps,places_hospital,,,229.874,,
2025-11-29T14:14:13.531727+00:00,google_maps,places_beach,,,301.313,,
2025-11-29T14:14:13.903392+00:00,google_maps,geocode,,,193.889,,
2025-11-29T14:14:14.304722+00:00,google_maps,places_gym,,,211.727,,
2025-11-29T14:14:14.741940+00:00,google_maps,places_school,,,254.117,,
2025-11-29T14:14:15.186774+00:00,google_maps,places_university,,,240.916,,
2025-11-29T14:14:15.763602+00:00,google_maps,places_park,,,230.528,,
2025-11-29T14:14:16.212771+00:00,google_maps,places_shopping_mall,,,248.672,,
2025-11-29T14:14:16.648614+00:00,google_maps,places_hospital,,,248.299,,
2025-11-29T14:14:17.128723+00:00,google_maps,places_beach,,,292.976,,
2025-11-29T14:14:17.612844+00:00,google_maps,geocode,,,277.823,,
2025-11-29T14:14:18.112616+00:00,google_maps,places_gym,,,312.256,,
2025-11-29T14:14:18.664032+00:00,google_maps,places_school,,,359.302,,
2025-11-29T14:14:19.074094+00:00,google_maps,places_university,,,233.116,,
2025-11-29T14:14:19.500275+00:00,google_maps,places_park,,,253.593,,
2025-11-29T14:14:19.954760+00:00,google_maps,places_shopping_mall,,,264.054,,
2025-11-29T14:14:20.362818+00:00,google_maps,places_hospital,,,241.814,,
2025-11-29T14:14:20.854526+00:00,google_maps,places_beach,,,313.578,,
2025-11-29T14:14:21.233477+00:00,google_maps,geocode,,,193.204,,
2025-11-29T14:14:21.678947+00:00,google_maps,places_gym,,,268.914,,
2025-11-29T14:14:22.138210+00:00,google_maps,places_school,,,274.662,,
2025-11-29T14:14:22.596308+00:00,google_maps,places_university,,,260.985,,
2025-11-29T14:14:23.081521+00:00,google_maps,places_park,,,295.243,,
2025-11-29T14:14:23.497941+00:00,google_maps,places_shopping_mall,,,229.456,,
2025-11-29T14:14:23.895888+00:00,google_maps,places_hospital,,,225.686,,
2025-11-29T14:14:24.381224+00:00,google_maps,places_beach,,,304.886,,
2025-11-29T14:14:24.732817+00:00,google_maps,geocode,,,176.96,,
2025-11-29T14:14:25.200252+00:00,google_maps,geocode,,,280.981,,
2025-11-29T14:14:25.674065+00:00,google_maps,places_gym,,,281.835,,
2025-11-29T14:14:26.167784+00:00,google_maps,places_school,,,272.341,,
2025-11-29T14:14:26.544247+00:00,google_maps,places_university,,,211.546,,
2025-11-29T14:14:26.966896+00:00,google_maps,places_park,,,243.173,,
2025-11-29T14:14:27.387850+00:00,google_maps,places_shopping_mall,,,239.968,,
2025-11-29T14:14:27.969323+00:00,google_maps,places_hospital,,,394.962,,
2025-11-29T14:14:28.453387+00:00,google_maps,places_beach,,,292.913,,
2025-11-29T14:14:28.803350+00:00,google_maps,geocode,,,171.635,,
2025-11-29T14:14:29.170747+00:00,google_maps,geocode,,,185.837,,
2025-11-29T14:14:29.588994+00:00,google_maps,places_gym,,,239.881,,
2025-11-29T14:14:30.079759+00:00,google_maps,places_school,,,300.316,,
2025-11-29T14:14:30.479136+00:00,google_maps,places_university,,,220.589,,
2025-11-29T14:14:30.927548+00:00,google_maps,places_park,,,256.69,,
2025-11-29T14:14:31.334854+00:00,google_maps,places_shopping_mall,,,227.009,,
2025-11-29T14:14:31.769353+00:00,google_maps,places_hospital,,,243.424,,
2025-11-29T14:14:32.333802+00:00,google_maps,places_beach,,,383.376,,
2025-11-29T14:14:32.686944+00:00,google_maps,geocode,,,172.733,,
2025-11-29T14:14:33.123241+00:00,google_maps,places_gym,,,262.428,,
2025-11-29T14:14:33.738001+00:00,google_maps,places_school,,,356.699,,
2025-11-29T14:14:34.124150+00:00,google_maps,places_university,,,200.502,,
2025-11-29T14:14:34.565408+00:00,google_maps,places_park,,,244.849,,
2025-11-29T14:14:34.968775+00:00,google_maps,places_shopping_mall,,,228.147,,
2025-11-29T14:14:35.370924+00:00,google_maps,places_hospital,,,221.243,,
